,year,age,sex,consultations,population,perCapita
5,2006,1,m,78700.0,29535.0,2.664635178601659
8,2006,2,m,57272.0,29504.0,1.9411605206073752
11,2006,3,m,47374.0,28894.0,1.6395791513809095
14,2006,4,m,39366.0,29576.0,1.3310116310522044
17,2006,5,m,36272.0,30953.0,1.171841178561044
20,2006,6,m,32231.0,31138.0,1.0351018048686493
23,2006,7,m,28698.0,30705.0,0.9346360527601368
26,2006,8,m,26721.0,31732.0,0.8420837009958402
29,2006,9,m,27258.0,32495.0,0.8388367441144792
32,2006,10,m,27171.0,32204.0,0.8437150664513725
35,2006,11,m,26582.0,31994.0,0.8308432831155842
38,2006,12,m,22541.0,31649.0,0.712218395525925
41,2006,13,m,23847.0,32497.0,0.7338215835307874
44,2006,14,m,24971.0,32743.0,0.762636288672388
47,2006,15,m,25482.0,32617.0,0.7812490419106601
50,2006,16,m,25713.0,31807.0,0.8084069544439904
53,2006,17,m,26038.0,30961.0,0.8409935079616292
56,2006,18,m,29513.0,29205.0,1.0105461393596986
59,2006,19,m,30685.0,28844.0,1.0638260990153932
62,2006,20,m,31315.0,28111.0,1.1139767350859093
65,2006,21,m,31548.0,27636.0,1.1415544941380809
68,2006,22,m,32504.0,27785.0,1.1698398416411733
71,2006,23,m,33758.0,28328.0,1.1916831403558317
74,2006,24,m,34800.0,27728.0,1.2550490478938257
77,2006,25,m,35908.0,28564.0,1.2571068477804228
80,2006,26,m,37324.0,28661.0,1.302257422978961
83,2006,27,m,38933.0,29052.0,1.34011427784662
86,2006,28,m,38784.0,28571.0,1.3574603619054286
89,2006,29,m,40666.0,29942.0,1.3581591076080421
92,2006,30,m,43779.0,31353.0,1.3963257104583293
95,2006,31,m,46717.0,33067.0,1.4127982580820757
98,2006,32,m,49824.0,34033.0,1.4639908324273498
101,2006,33,m,51460.0,35453.0,1.4514991679124474
104,2006,34,m,54092.0,35768.0,1.5123014985461865
107,2006,35,m,54375.0,35626.0,1.5262729467243026
110,2006,36,m,57111.0,36869.0,1.549024926089669
